ID,Estado de la desaparición,Clasificación de la desaparición,Fecha de la desaparición,Edad al momento de la desaparición,Sexo del desaparecido,País de nacimiento del desaparecido,Ancestro racial del desaparecido,Estado civil del desaparecido,Escolaridad del desaparecido,Pertenencia grupal del desaparecido,País donde ocurre la desaparición,Municipio donde ocurre la desaparición DANE,Departamento donde ocurre la desaparición DANE
"231,937",Aparecio Vivo,Desaparición Presuntamente Forzada,29/01/2023,23,Hombre,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Tunja,Boyacá
"231,938",Desaparecido,Sin Información,20/01/2023,72,Hombre,Colombia,Mestizo,Casado (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,939",Desaparecido,Sin Información,30/01/2023,28,Hombre,Colombia,Negro,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C
"231,940",Desaparecido,Sin Información,18/01/2023,13,Hombre,Venezuela,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C
"231,941",Aparecio Vivo,Sin Información,12/01/2023,5,Mujer,Colombia,Mestizo,No Aplica,Educación inicial y educación preescolar,Otro,Colombia,Bogotá D.C.,Bogotá D.C
"231,942",Aparecio Vivo,Sin Información,12/01/2023,24,Mujer,Colombia,Mestizo,Sin Información,Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,945",Desaparecido,Sin Información,22/01/2023,32,Hombre,Colombia,Sin Información,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,946",Aparecio Vivo,Sin Información,28/01/2023,73,Hombre,Colombia,Mestizo,"Separado(a),Divorciado(a)",Educación inicial y educación preescolar,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,948",Aparecio Muerto,Sin Información,23/01/2023,56,Hombre,Colombia,Mestizo,Soltero (a),Educación inicial y educación preescolar,Ninguno,Colombia,La Virginia,Risaralda
"231,950",Aparecio Vivo,Sin Información,29/01/2023,35,Hombre,Colombia,Mestizo,Sin Información,Educación básica primaria,Ninguno,Colombia,Cali,Valle Del Cauca
"231,951",Desaparecido,Sin Información,24/01/2023,14,Mujer,Colombia,Indigena,Sin Información,Sin información,Grupos étnicos,Colombia,San José Del Guaviare,Guaviare
"231,955",Desaparecido,Sin Información,30/01/2023,46,Mujer,Colombia,Mestizo,Unión Libre,Educación inicial y educación preescolar,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,957",Aparecio Vivo,Sin Información,16/01/2023,39,Hombre,Colombia,Mestizo,Soltero (a),Sin información,Ninguno,Colombia,Medellín,Antioquia
"231,958",Aparecio Vivo,Sin Información,29/01/2023,17,Mujer,Colombia,Mestizo,No Aplica,Educación básica secundaria o secundaria baja,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C
"231,960",Desaparecido,Sin Información,17/01/2023,45,Hombre,Colombia,Sin Información,Soltero (a),Educación media o secundaria alta,Herido y/o enfermo bajo protección sanitaria o médica,Colombia,Popayán,Cauca
"231,961",Aparecio Vivo,Sin Información,01/02/2023,28,Hombre,Colombia,Sin Información,Unión Libre,Educación básica primaria,Sin información,Colombia,Medellín,Antioquia
"231,962",Aparecio Vivo,Sin Información,18/01/2023,17,Hombre,Colombia,Sin Información,Unión Libre,Sin información,Ninguno,Colombia,Medellín,Antioquia
"231,963",Aparecio Vivo,Sin Información,30/01/2023,14,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,964",Aparecio Vivo,Sin Información,16/01/2023,16,Mujer,Colombia,Blanco,Unión Libre,Sin información,Ninguno,Colombia,Medellín,Antioquia
"231,965",Desaparecido,Sin Información,01/02/2023,61,Hombre,Colombia,Mestizo,Casado (a),Educación básica primaria,Ninguno,Colombia,Cúcuta,Norte De Santander
"231,966",Aparecio Muerto,Sin Información,29/01/2023,25,Hombre,Colombia,Mestizo,Unión Libre,Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C
"231,967",Aparecio Vivo,Sin Información,22/01/2023,30,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Manizales,Caldas
"231,969",Aparecio Vivo,Sin Información,30/01/2023,41,Hombre,Colombia,Mestizo,Casado (a),Educación media o secundaria alta,Ninguno,Colombia,Cali,Valle Del Cauca
"231,972",Aparecio Vivo,Sin Información,01/02/2023,18,Mujer,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Medellín,Antioquia
"231,974",Desaparecido,Sin Información,22/01/2023,23,Hombre,Colombia,Mestizo,Unión Libre,Educación básica primaria,Ninguno,Colombia,Marsella,Risaralda
"231,975",Desaparecido,Sin Información,29/01/2023,13,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Ciénaga,Magdalena
"231,976",Aparecio Vivo,Sin Información,31/01/2023,22,Hombre,Colombia,Indigena,Soltero (a),Educación media o secundaria alta,Otro,Colombia,Bogotá D.C.,Bogotá D.C
"231,977",Desaparecido,Sin Información,30/01/2023,32,Hombre,Colombia,Mestizo,Unión Libre,Educación básica primaria,Ninguno,Colombia,San José Del Guaviare,Guaviare
"231,978",Aparecio Vivo,Sin Información,31/01/2023,30,Mujer,Colombia,Mestizo,Soltero (a),Sin escolaridad,Otro,Colombia,Bogotá D.C.,Bogotá D.C
"231,979",Desaparecido,Sin Información,30/01/2023,15,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Cúcuta,Norte De Santander
"231,981",Aparecio Vivo,Sin Información,29/01/2023,19,Hombre,Colombia,Sin Información,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Choconta,Cundinamarca
"231,982",Desaparecido,Sin Información,28/01/2023,24,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bucaramanga,Santander
"231,984",Desaparecido,Sin Información,13/01/2023,29,Mujer,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Cali,Valle Del Cauca
"231,986",Desaparecido,Sin Información,31/01/2023,30,Mujer,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Soacha,Cundinamarca
"231,987",Aparecio Vivo,Sin Información,31/01/2023,69,Hombre,Colombia,Mestizo,Soltero (a),Sin escolaridad,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,990",Desaparecido,Sin Información,29/01/2023,41,Hombre,Colombia,Sin Información,Unión Libre,Educación básica secundaria o secundaria baja,Sin información,Colombia,Medellín,Antioquia
"231,991",Aparecio Vivo,Sin Información,01/02/2023,14,Mujer,Colombia,Indigena,Soltero (a),Educación básica primaria,Ninguno,Colombia,Cali,Valle Del Cauca
"231,992",Desaparecido,Sin Información,10/01/2023,53,Hombre,Colombia,Sin Información,"Separado(a),Divorciado(a)",Sin información,Ninguno,Colombia,Soacha,Cundinamarca
"231,993",Aparecio Vivo,Sin Información,30/01/2023,23,Hombre,Colombia,Mulato,Soltero (a),Educación media o secundaria alta,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C
"231,994",Desaparecido,Sin Información,27/01/2023,39,Hombre,Venezuela,Mestizo,Soltero (a),Sin información,Ninguno,Colombia,Cali,Valle Del Cauca
"231,995",Desaparecido,Sin Información,11/01/2023,40,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,997",Aparecio Muerto,Sin Información,19/01/2023,31,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Orito,Putumayo
"231,998",Aparecio Vivo,Sin Información,30/01/2023,13,Hombre,Venezuela,Sin Información,Sin Información,Sin información,Ninguno,Colombia,Facatativá,Cundinamarca
"232,000",Desaparecido,Sin Información,19/01/2023,30,Hombre,Colombia,Mestizo,Unión Libre,Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C
"232,001",Aparecio Vivo,Sin Información,30/01/2023,30,Hombre,Colombia,Sin Información,Soltero (a),Educación técnica profesional y tecnológica,Ninguno,Colombia,Barranquilla,Atlántico
"232,002",Desaparecido,Sin Información,16/01/2023,2,Mujer,Colombia,Sin Información,No Aplica,Sin información,Sin información,Colombia,Santa Marta,Magdalena
"232,004",Aparecio Vivo,Sin Información,30/01/2023,38,Mujer,Colombia,Sin Información,Unión Libre,Educación básica primaria,Sin información,Colombia,Medellín,Antioquia
"232,005",Aparecio Muerto,Sin Información,01/02/2023,24,Hombre,Colombia,Sin Información,Unión Libre,Educación media o secundaria alta,Ninguno,Colombia,Neiva,Huila
"232,007",Desaparecido,Sin Información,30/01/2023,40,Hombre,Colombia,Sin Información,Unión Libre,"Especialización, Maestría o equivalente",Ninguno,Colombia,Barranquilla,Atlántico
"232,008",Desaparecido,Sin Información,31/01/2023,63,Hombre,Colombia,Mestizo,"Separado(a),Divorciado(a)",Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,009",Aparecio Vivo,Sin Información,31/01/2023,20,Hombre,Colombia,Sin Información,Soltero (a),Educación media o secundaria alta,Sin información,Colombia,Medellín,Antioquia
"232,012",Aparecio Vivo,Sin Información,20/01/2023,13,Mujer,Venezuela,Sin Información,No Aplica,Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,013",Desaparecido,Sin Información,18/01/2023,45,Hombre,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Ninguno,Colombia,Arauquita,Arauca
"232,014",Desaparecido,Sin Información,02/02/2023,15,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,015",Desaparecido,Sin Información,02/02/2023,16,Hombre,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,016",Desaparecido,Sin Información,02/02/2023,14,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,017",Desaparecido,Sin Información,03/02/2023,16,Mujer,Venezuela,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,018",Desaparecido,Sin Información,25/01/2023,51,Hombre,Colombia,Sin Información,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Villanueva,Casanare
"232,019",Aparecio Vivo,Sin Información,02/02/2023,34,Hombre,Colombia,Sin Información,Soltero (a),Educación media o secundaria alta,Sin información,Colombia,Bello,Antioquia
"232,020",Aparecio Muerto,Sin Información,02/02/2023,14,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Dosquebradas,Risaralda
"232,022",Aparecio Muerto,Sin Información,21/01/2023,33,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Flandes,Tolima
"232,023",Aparecio Vivo,Sin Información,02/02/2023,83,Hombre,Colombia,Mestizo,"Separado(a),Divorciado(a)",Sin escolaridad,Discapacitados (as),Colombia,Bogotá D.C.,Bogotá D.C
"232,025",Desaparecido,Sin Información,29/01/2023,67,Hombre,Colombia,Mestizo,"Separado(a),Divorciado(a)",Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C
"232,026",Aparecio Vivo,Sin Información,03/02/2023,12,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Pereira,Risaralda
"232,028",Aparecio Vivo,Sin Información,28/01/2023,15,Mujer,Colombia,Negro,Soltero (a),Educación básica primaria,Ninguno,Colombia,Cali,Valle Del Cauca
"232,029",Aparecio Muerto,Sin Información,31/01/2023,23,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Dosquebradas,Risaralda
"232,030",Aparecio Vivo,Sin Información,04/02/2023,56,Mujer,Colombia,Mestizo,Casado (a),Educación media o secundaria alta,Ninguno,Colombia,Pereira,Risaralda
"232,031",Aparecio Vivo,Sin Información,04/02/2023,16,Mujer,Venezuela,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,032",Aparecio Vivo,Sin Información,04/02/2023,15,Mujer,Venezuela,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,033",Desaparecido,Sin Información,04/02/2023,23,Hombre,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,034",Desaparecido,Sin Información,04/02/2023,51,Hombre,Colombia,Mestizo,"Separado(a),Divorciado(a)",Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,035",Desaparecido,Sin Información,04/02/2023,30,Hombre,Colombia,Mestizo,Unión Libre,Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,036",Desaparecido,Sin Información,04/02/2023,23,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,037",Desaparecido,Sin Información,02/02/2023,19,Mujer,Colombia,Blanco,Soltero (a),Educación básica primaria,Ninguno,Colombia,Balboa,Cauca
"232,040",Aparecio Vivo,Sin Información,03/02/2023,27,Hombre,Colombia,Sin Información,Unión Libre,Sin información,Ninguno,Colombia,Funza,Cundinamarca
"232,041",Desaparecido,Sin Información,28/01/2023,17,Mujer,Colombia,Sin Información,Soltero (a),Sin información,Sin información,Colombia,Piendamó,Cauca
"232,042",Aparecio Muerto,Sin Información,02/01/2023,78,Mujer,Colombia,Sin Información,Sin Información,Sin información,Sin información,Colombia,Copacabana,Antioquia
"232,044",Aparecio Vivo,Sin Información,03/02/2023,28,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,046",Desaparecido,Sin Información,01/02/2023,27,Hombre,Colombia,Mestizo,Sin Información,Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Montería,Córdoba
"232,047",Aparecio Vivo,Sin Información,24/01/2023,36,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Itagui,Antioquia
"232,048",Aparecio Vivo,Sin Información,02/02/2023,15,Mujer,Colombia,Negro,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Cali,Valle Del Cauca
"232,049",Aparecio Vivo,Sin Información,04/02/2023,48,Hombre,Colombia,Blanco,Soltero (a),"Especialización, Maestría o equivalente",Ninguno,Colombia,Pereira,Risaralda
"232,050",Aparecio Vivo,Sin Información,27/01/2023,23,Hombre,Venezuela,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Ecuador,Desaparecidos en el extranjero,Desaparecidos en el extranjero
"232,051",Aparecio Muerto,Sin Información,10/01/2023,60,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Persona habitante de la calle,Colombia,Bogotá D.C.,Bogotá D.C
"232,052",Desaparecido,Sin Información,05/02/2023,46,Hombre,Colombia,Mestizo,Casado (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,053",Aparecio Vivo,Sin Información,04/02/2023,21,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Discapacitados (as),Colombia,Bogotá D.C.,Bogotá D.C
"232,056",Aparecio Vivo,Sin Información,16/01/2023,42,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Comunidad LGBT,Colombia,Honda,Tolima
"232,058",Desaparecido,Sin Información,03/02/2023,16,Hombre,Colombia,Mestizo,Soltero (a),Educación inicial y educación preescolar,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,060",Desaparecido,Sin Información,29/01/2023,14,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Siachoque,Boyacá
"232,061",Desaparecido,Sin Información,02/02/2023,38,Hombre,Cuba,Blanco,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Pereira,Risaralda
"232,062",Desaparecido,Sin Información,21/01/2023,23,Mujer,Colombia,Mestizo,Soltero (a),Sin información,Grupos étnicos,Colombia,Samaniego,Nariño
"232,063",Desaparecido,Sin Información,19/01/2023,33,Mujer,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bello,Antioquia
"232,064",Desaparecido,Sin Información,03/02/2023,42,Hombre,Colombia,Mestizo,"Separado(a),Divorciado(a)",Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,065",Desaparecido,Sin Información,01/02/2023,93,Hombre,Colombia,Mestizo,Viudo (a),Sin información,Religiosos,Colombia,Los Santos,Santander
"232,067",Aparecio Vivo,Sin Información,28/01/2023,28,Hombre,Colombia,Sin Información,Soltero (a),Educación básica primaria,Sin información,Colombia,Medellín,Antioquia
"232,068",Aparecio Vivo,Sin Información,03/02/2023,16,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,069",Aparecio Vivo,Sin Información,03/02/2023,42,Hombre,Colombia,Mestizo,Casado (a),Educación media o secundaria alta,Ninguno,Colombia,Cúcuta,Norte De Santander
"232,071",Desaparecido,Sin Información,25/01/2023,42,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Venecia,Antioquia
"232,074",Aparecio Vivo,Sin Información,05/02/2023,44,Hombre,Colombia,Blanco,Unión Libre,Sin información,Ninguno,Colombia,Cali,Valle Del Cauca
"232,075",Desaparecido,Sin Información,03/02/2023,55,Hombre,Colombia,Mestizo,Unión Libre,Sin información,Ninguno,Colombia,Malambo,Atlántico
"232,077",Aparecio Vivo,Sin Información,04/02/2023,28,Hombre,Colombia,Sin Información,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Ibagué,Tolima
"232,078",Desaparecido,Sin Información,31/01/2023,41,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Otro,Colombia,Medellín,Antioquia
"232,079",Aparecio Vivo,Sin Información,06/02/2023,17,Hombre,Venezuela,Mestizo,Soltero (a),Educación básica primaria,Otro,Colombia,Bogotá D.C.,Bogotá D.C
"232,080",Aparecio Vivo,Sin Información,06/02/2023,13,Mujer,Colombia,Mestizo,No Aplica,Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,081",Desaparecido,Sin Información,03/01/2023,66,Hombre,Colombia,Negro,Soltero (a),Sin información,Ninguno,Colombia,Cali,Valle Del Cauca
"232,083",Desaparecido,Sin Información,06/02/2023,11,Hombre,Venezuela,Mestizo,No Aplica,Educación inicial y educación preescolar,Ninguno,Colombia,Yumbo,Valle Del Cauca
"232,086",Desaparecido,Sin Información,23/01/2023,28,Hombre,Colombia,Mestizo,Unión Libre,Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C
"232,087",Desaparecido,Sin Información,10/01/2023,18,Hombre,Sin información,Blanco,Unión Libre,Educación media o secundaria alta,Ninguno,Colombia,Cali,Valle Del Cauca
"232,088",Desaparecido,Sin Información,04/02/2023,16,Hombre,Colombia,Sin Información,Soltero (a),Educación básica primaria,Ninguno,Colombia,Barranquilla,Atlántico
"232,090",Desaparecido,Sin Información,06/02/2023,13,Mujer,Venezuela,Sin Información,Soltero (a),Educación básica primaria,Ninguno,Colombia,Rionegro,Antioquia
"232,091",Aparecio Vivo,Sin Información,21/01/2023,6,Hombre,Colombia,Mestizo,No Aplica,Educación inicial y educación preescolar,Ninguno,Colombia,Pasto,Nariño
"232,093",Desaparecido,Sin Información,29/01/2023,16,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,096",Aparecio Vivo,Sin Información,25/01/2023,28,Mujer,Colombia,Mestizo,"Separado(a),Divorciado(a)",Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,097",Desaparecido,Sin Información,05/01/2023,44,Hombre,Sin información,Blanco,Soltero (a),Educación media o secundaria alta,Persona adicta a una droga natural o sintética,Colombia,Cali,Valle Del Cauca
"232,098",Desaparecido,Desaparición Presuntamente Forzada,31/01/2023,31,Hombre,Colombia,Negro,Sin Información,Sin información,Grupos étnicos,Colombia,Nuquí,Chocó
"232,099",Aparecio Vivo,Sin Información,26/01/2023,37,Hombre,Colombia,Mestizo,Soltero (a),Educación inicial y educación preescolar,Ninguno,Colombia,Pasto,Nariño
"232,100",Desaparecido,Sin Información,04/02/2023,88,Mujer,Colombia,Mestizo,Viudo (a),Educación básica primaria,Discapacitados (as),Colombia,Bogotá D.C.,Bogotá D.C
"232,101",Desaparecido,Sin Información,24/01/2023,56,Hombre,Colombia,Mestizo,Soltero (a),Educación técnica profesional y tecnológica,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,102",Aparecio Vivo,Sin Información,02/02/2023,28,Hombre,Colombia,Blanco,Soltero (a),Educación básica primaria,Ninguno,Colombia,Pereira,Risaralda
"232,103",Aparecio Vivo,Sin Información,03/02/2023,18,Mujer,Colombia,Sin Información,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Ibagué,Tolima
"232,104",Desaparecido,Sin Información,22/01/2023,28,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,105",Desaparecido,Sin Información,06/02/2023,59,Hombre,Colombia,Mestizo,Viudo (a),Educación básica primaria,Ninguno,Colombia,Soacha,Cundinamarca
"232,106",Desaparecido,Sin Información,18/01/2023,78,Hombre,Colombia,Sin Información,Soltero (a),Sin escolaridad,Ninguno,Colombia,Salento,Quindio
"232,107",Aparecio Vivo,Sin Información,04/02/2023,33,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Pasto,Nariño
"232,109",Aparecio Vivo,Sin Información,07/02/2023,49,Hombre,Colombia,Sin Información,Unión Libre,Educación media o secundaria alta,Sin información,Colombia,Sabaneta,Antioquia
"232,110",Desaparecido,Sin Información,14/01/2023,29,Hombre,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C
"232,111",Aparecio Vivo,Sin Información,01/02/2023,45,Hombre,Colombia,Sin Información,Soltero (a),Educación inicial y educación preescolar,Sin información,Colombia,Medellín,Antioquia
"232,112",Desaparecido,Sin Información,23/01/2023,20,Hombre,Venezuela,Sin Información,Sin Información,Sin información,Persona en condición de desplazamiento,Colombia,Pamplona,Norte De Santander
"232,113",Desaparecido,Sin Información,27/01/2023,5,Mujer,Colombia,Sin Información,No Aplica,Educación inicial y educación preescolar,Sin información,Colombia,Bucaramanga,Santander
"232,114",Desaparecido,Sin Información,04/02/2023,33,Hombre,Colombia,Sin Información,Soltero (a),Educación técnica profesional y tecnológica,Sin información,Colombia,Caucasia,Antioquia
"232,116",Desaparecido,Sin Información,07/02/2023,14,Hombre,Colombia,Mestizo,No Aplica,Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,117",Desaparecido,Sin Información,19/01/2023,21,Hombre,Venezuela,Mestizo,"Separado(a),Divorciado(a)",Educación media o secundaria alta,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C
"232,118",Aparecio Vivo,Sin Información,04/02/2023,28,Hombre,Venezuela,Mestizo,Soltero (a),Sin escolaridad,Otro,Colombia,Bogotá D.C.,Bogotá D.C
"232,119",Aparecio Vivo,Sin Información,07/02/2023,92,Hombre,Colombia,Blanco,Casado (a),Educación media o secundaria alta,Otro,Colombia,Bogotá D.C.,Bogotá D.C
"232,121",Desaparecido,Sin Información,05/02/2023,14,Mujer,Colombia,Sin Información,Sin Información,Sin información,Campesinos (as) y/o trabajadores (as) del campo,Colombia,Neiva,Huila
"232,122",Aparecio Vivo,Sin Información,03/02/2023,15,Mujer,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,123",Desaparecido,Sin Información,01/02/2023,26,Hombre,Colombia,Sin Información,Soltero (a),Educación básica primaria,Sin información,Colombia,Pasto,Nariño
"232,126",Desaparecido,Sin Información,04/02/2023,31,Hombre,Estados Unidos,Mestizo,Unión Libre,Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C
"232,128",Aparecio Vivo,Sin Información,06/02/2023,14,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,129",Aparecio Muerto,Sin Información,08/02/2023,9,Mujer,Colombia,Sin Información,No Aplica,Educación inicial y educación preescolar,Ninguno,Colombia,Ibagué,Tolima
"232,132",Aparecio Vivo,Sin Información,07/01/2023,27,Mujer,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Comunidad LGBT,Colombia,Bogotá D.C.,Bogotá D.C
"232,133",Aparecio Vivo,Sin Información,08/02/2023,22,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,135",Aparecio Vivo,Sin Información,28/01/2023,14,Mujer,Colombia,Blanco,Soltero (a),Educación básica primaria,Ninguno,Colombia,Dagua,Valle Del Cauca
"232,136",Desaparecido,Sin Información,04/01/2023,67,Hombre,Colombia,Sin Información,Soltero (a),Sin información,Sin información,Colombia,Lorica,Córdoba
"232,138",Desaparecido,Sin Información,02/01/2023,30,Hombre,Colombia,Sin Información,Soltero (a),Educación básica primaria,Ninguno,Colombia,Soledad,Atlántico
"232,139",Aparecio Vivo,Sin Información,01/02/2023,21,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Medellín,Antioquia
"232,142",Desaparecido,Sin Información,06/02/2023,86,Hombre,Colombia,Mestizo,Casado (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,144",Desaparecido,Sin Información,04/02/2023,38,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,147",Desaparecido,Sin Información,03/02/2023,48,Hombre,Colombia,Negro,Soltero (a),Sin información,Persona en condición de desplazamiento,Colombia,Pasto,Nariño
"232,149",Aparecio Vivo,Sin Información,08/02/2023,24,Hombre,Colombia,Sin Información,Soltero (a),Educación básica secundaria o secundaria baja,Discapacitados (as),Colombia,Bogotá D.C.,Bogotá D.C
"232,152",Aparecio Muerto,Sin Información,06/02/2023,22,Hombre,Colombia,Blanco,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Pereira,Risaralda
"232,154",Desaparecido,Sin Información,09/02/2023,45,Hombre,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"232,155",Desaparecido,Sin Información,06/02/2023,28,Mujer,Venezuela,Mestizo,Soltero (a),Educación básica primaria,Otro,Colombia,Santa Marta,Magdalena
