ID,Estado de la desaparición,Clasificación de la desaparición,Fecha de la desaparición,Edad al momento de la desaparición,Sexo del desaparecido,País de nacimiento del desaparecido,Ancestro racial del desaparecido,Estado civil del desaparecido,Escolaridad del desaparecido,Pertenencia grupal del desaparecido,País donde ocurre la desaparición,Municipio donde ocurre la desaparición DANE,Departamento donde ocurre la desaparición DANE,Contexto
"231,791",Aparecio Vivo,Sin Información,2023-01-14T00:00:00.000,63,Hombre,Colombia,Mestizo,Viudo (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,792",Desaparecido,Sin Información,2023-01-23T00:00:00.000,74,Hombre,Colombia,Negro,Unión Libre,Educación básica primaria,Ninguno,Colombia,Cali,Valle Del Cauca,Desaparición
"231,796",Desaparecido,Sin Información,2023-01-23T00:00:00.000,15,Mujer,Venezuela,Mestizo,No Aplica,Sin información,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,797",Desaparecido,Sin Información,2023-01-12T00:00:00.000,79,Hombre,Colombia,Sin Información,"Separado(a),Divorciado(a)",Educación media o secundaria alta,Sin información,Colombia,Caldas,Antioquia,Desaparición
"231,798",Desaparecido,Sin Información,2023-01-23T00:00:00.000,13,Mujer,Ecuador,Negro,No Aplica,Sin información,Otro,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,801",Desaparecido,Sin Información,2023-01-23T00:00:00.000,50,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,802",Desaparecido,Sin Información,2023-01-18T00:00:00.000,15,Mujer,Colombia,Mestizo,No Aplica,Educación básica primaria,Ninguno,Colombia,Soacha,Cundinamarca,Desaparición
"231,804",Aparecio Vivo,Sin Información,2023-01-22T00:00:00.000,14,Mujer,Colombia,Mestizo,No Aplica,Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,807",Aparecio Vivo,Sin Información,2023-01-22T00:00:00.000,47,Hombre,Colombia,Negro,Casado (a),Educación media o secundaria alta,Ninguno,Colombia,Cali,Valle Del Cauca,Desaparición
"231,809",Desaparecido,Sin Información,2023-01-22T00:00:00.000,18,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Discapacitados (as),Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,810",Aparecio Vivo,Sin Información,2023-01-18T00:00:00.000,30,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Persona adicta a una droga natural o sintética,Colombia,Sesquilé,Cundinamarca,Desaparición
"231,812",Desaparecido,Sin Información,2023-01-22T00:00:00.000,33,Hombre,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,815",Desaparecido,Sin Información,2023-01-20T00:00:00.000,46,Hombre,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,817",Aparecio Vivo,Sin Información,2023-01-24T00:00:00.000,67,Hombre,Colombia,Negro,Unión Libre,Educación inicial y educación preescolar,Grupos étnicos,Colombia,Manizales,Caldas,Desaparición
"231,818",Aparecio Vivo,Sin Información,2023-01-24T00:00:00.000,15,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,819",Aparecio Vivo,Sin Información,2023-01-22T00:00:00.000,13,Mujer,Colombia,Sin Información,Sin Información,Educación básica primaria,Ninguno,Colombia,Medellín,Antioquia,Desaparición
"231,824",Desaparecido,Sin Información,2023-01-24T00:00:00.000,15,Mujer,Venezuela,Sin Información,Soltero (a),Educación básica primaria,Sin información,Colombia,Bucaramanga,Santander,Desaparición
"231,825",Aparecio Vivo,Sin Información,2023-01-19T00:00:00.000,15,Hombre,Colombia,Sin Información,Sin Información,Sin información,Ninguno,Colombia,Chía,Cundinamarca,Desaparición
"231,826",Aparecio Vivo,Sin Información,2023-01-25T00:00:00.000,19,Hombre,Colombia,Mestizo,No Aplica,Educación básica primaria,Ninguno,Colombia,Cúcuta,Norte De Santander,Desaparición
"231,827",Desaparecido,Sin Información,2023-01-20T00:00:00.000,31,Hombre,Colombia,Sin Información,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Floridablanca,Santander,Desaparición
"231,828",Aparecio Vivo,Sin Información,2023-01-22T00:00:00.000,15,Hombre,Colombia,Mestizo,No Aplica,Educación básica primaria,Ninguno,Colombia,Soacha,Cundinamarca,Desaparición
"231,830",Desaparecido,Sin Información,2023-01-25T00:00:00.000,23,Mujer,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Otro,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,831",Desaparecido,Sin Información,2023-01-17T00:00:00.000,20,Hombre,Venezuela,Mestizo,Soltero (a),Educación media o secundaria alta,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,833",Desaparecido,Sin Información,2023-01-20T00:00:00.000,33,Hombre,Colombia,Mestizo,Unión Libre,Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,834",Aparecio Vivo,Sin Información,2023-01-23T00:00:00.000,16,Mujer,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,835",Aparecio Vivo,Sin Información,2023-01-24T00:00:00.000,20,Mujer,Colombia,Mestizo,Soltero (a),Educación inicial y educación preescolar,Ninguno,Colombia,Pereira,Risaralda,Desaparición
"231,838",Aparecio Vivo,Sin Información,2023-01-22T00:00:00.000,30,Hombre,Colombia,Sin Información,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Pereira,Risaralda,Desaparición
"231,839",Desaparecido,Sin Información,2023-01-25T00:00:00.000,64,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Cali,Valle Del Cauca,Desaparición
"231,840",Aparecio Vivo,Sin Información,2023-01-22T00:00:00.000,30,Hombre,Venezuela,Mestizo,Unión Libre,Educación media o secundaria alta,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,841",Desaparecido,Sin Información,2023-01-01T00:00:00.000,56,Hombre,Colombia,Mestizo,Unión Libre,Educación básica primaria,Ninguno,Colombia,Chinchiná,Caldas,Desaparición
"231,842",Aparecio Vivo,Sin Información,2023-01-20T00:00:00.000,45,Hombre,Colombia,Mestizo,Soltero (a),Sin información,Ninguno,Colombia,Medellín,Antioquia,Desaparición
"231,843",Desaparecido,Sin Información,2023-01-22T00:00:00.000,49,Hombre,Colombia,Blanco,Casado (a),Educación media o secundaria alta,Ninguno,Colombia,Dosquebradas,Risaralda,Desaparición
"231,844",Desaparecido,Desaparición Presuntamente Forzada,2023-01-18T00:00:00.000,31,Hombre,Colombia,Sin Información,Unión Libre,Educación básica primaria,Ninguno,Colombia,Maicao,La Guajira,Desaparición
"231,848",Aparecio Vivo,Sin Información,2023-01-20T00:00:00.000,17,Hombre,Colombia,Sin Información,Soltero (a),Educación inicial y educación preescolar,Ninguno,Colombia,Barranquilla,Atlántico,Desaparición
"231,849",Desaparecido,Sin Información,2023-01-25T00:00:00.000,57,Hombre,Colombia,Sin Información,Unión Libre,Sin escolaridad,Otro,Colombia,Cali,Valle Del Cauca,Desaparición
"231,850",Desaparecido,Sin Información,2023-01-18T00:00:00.000,13,Mujer,Venezuela,Mestizo,Soltero (a),Sin información,Ninguno,Colombia,Santa Marta,Magdalena,Desaparición
"231,852",Desaparecido,Sin Información,2023-01-10T00:00:00.000,28,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,853",Aparecio Vivo,Sin Información,2023-01-24T00:00:00.000,14,Mujer,Colombia,Mestizo,No Aplica,Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,855",Desaparecido,Sin Información,2023-01-18T00:00:00.000,40,Mujer,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Ninguno,Colombia,Soacha,Cundinamarca,Desaparición
"231,856",Aparecio Vivo,Sin Información,2023-01-25T00:00:00.000,50,Hombre,Colombia,Mestizo,Sin Información,Sin información,Ninguno,Colombia,Cúcuta,Norte De Santander,Desaparición
"231,857",Aparecio Muerto,Sin Información,2023-01-26T00:00:00.000,24,Mujer,Sin información,Sin Información,Unión Libre,Educación media o secundaria alta,Persona adicta a una droga natural o sintética,Colombia,Cali,Valle Del Cauca,Desaparición
"231,858",Aparecio Vivo,Sin Información,2023-01-27T00:00:00.000,14,Hombre,Colombia,Negro,No Aplica,Educación inicial y educación preescolar,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,859",Aparecio Vivo,Sin Información,2023-01-26T00:00:00.000,15,Mujer,Colombia,Mestizo,No Aplica,Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,860",Desaparecido,Sin Información,2023-01-24T00:00:00.000,30,Hombre,Colombia,Mestizo,Unión Libre,Educación inicial y educación preescolar,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,861",Desaparecido,Sin Información,2023-01-26T00:00:00.000,79,Hombre,Colombia,Mestizo,Casado (a),Educación inicial y educación preescolar,Otro,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,862",Aparecio Vivo,Sin Información,2023-01-27T00:00:00.000,23,Hombre,Colombia,Mestizo,Soltero (a),Educación técnica profesional y tecnológica,Ninguno,Colombia,Manizales,Caldas,Desaparición
"231,863",Desaparecido,Sin Información,2023-01-21T00:00:00.000,25,Mujer,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,864",Desaparecido,Sin Información,2023-01-21T00:00:00.000,4,Mujer,Colombia,Mestizo,No Aplica,Educación inicial y educación preescolar,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,865",Aparecio Vivo,Sin Información,2023-01-25T00:00:00.000,32,Hombre,Colombia,Sin Información,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,866",Desaparecido,Sin Información,2023-01-22T00:00:00.000,17,Hombre,Colombia,Mulato,Sin Información,Sin información,Persona adicta a una droga natural o sintética,Colombia,Sabaneta,Antioquia,Desaparición
"231,867",Desaparecido,Sin Información,2023-01-28T00:00:00.000,12,Mujer,Sin información,Blanco,Sin Información,Educación inicial y educación preescolar,Grupos étnicos,Colombia,Cali,Valle Del Cauca,Desaparición
"231,868",Aparecio Muerto,Sin Información,2023-01-27T00:00:00.000,32,Hombre,Colombia,Sin Información,Unión Libre,Educación básica primaria,Ninguno,Colombia,Girardot,Cundinamarca,Desaparición
"231,869",Aparecio Vivo,Sin Información,2023-01-28T00:00:00.000,13,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Pereira,Risaralda,Desaparición
"231,870",Aparecio Vivo,Sin Información,2023-01-28T00:00:00.000,14,Mujer,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Pereira,Risaralda,Desaparición
"231,871",Aparecio Vivo,Sin Información,2023-01-28T00:00:00.000,28,Hombre,Colombia,Mestizo,Unión Libre,Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,872",Desaparecido,Sin Información,2023-01-26T00:00:00.000,48,Hombre,Colombia,Mestizo,Unión Libre,Sin información,Ninguno,Colombia,La Virginia,Risaralda,Desaparición
"231,873",Desaparecido,Sin Información,2023-01-28T00:00:00.000,13,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Santa Marta,Magdalena,Desaparición
"231,874",Aparecio Vivo,Sin Información,2023-01-29T00:00:00.000,17,Mujer,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,875",Desaparecido,Sin Información,2023-01-09T00:00:00.000,23,Mujer,Venezuela,Mestizo,Unión Libre,Educación básica primaria,Ninguno,Colombia,Segovia,Antioquia,Desaparición
"231,876",Aparecio Vivo,Sin Información,2023-01-16T00:00:00.000,20,Mujer,Sin información,Sin Información,Sin Información,Sin información,Ninguno,Colombia,Pueblo Bello,Cesar,Desaparición
"231,878",Aparecio Vivo,Sin Información,2023-01-20T00:00:00.000,27,Hombre,Colombia,Sin Información,Soltero (a),Educación media o secundaria alta,Sin información,Colombia,Medellín,Antioquia,Desaparición
"231,881",Desaparecido,Sin Información,2023-01-24T00:00:00.000,25,Hombre,Venezuela,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Madrid,Cundinamarca,Desaparición
"231,887",Desaparecido,Sin Información,2023-01-03T00:00:00.000,14,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Nariño,Antioquia,Desaparición
"231,888",Aparecio Vivo,Sin Información,2023-01-14T00:00:00.000,30,Hombre,Colombia,Sin Información,Soltero (a),Educación media o secundaria alta,Sin información,Colombia,Medellín,Antioquia,Desaparición
"231,889",Desaparecido,Sin Información,2023-01-13T00:00:00.000,32,Hombre,Venezuela,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,890",Aparecio Vivo,Sin Información,2023-01-28T00:00:00.000,21,Mujer,Colombia,Mestizo,Unión Libre,Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Dosquebradas,Risaralda,Desaparición
"231,891",Aparecio Vivo,Sin Información,2023-01-30T00:00:00.000,13,Hombre,Colombia,Mestizo,Soltero (a),Educación inicial y educación preescolar,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,893",Aparecio Vivo,Sin Información,2023-01-30T00:00:00.000,12,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,894",Aparecio Vivo,Sin Información,2023-01-07T00:00:00.000,33,Hombre,Colombia,Sin Información,Sin Información,Educación básica primaria,Ninguno,Colombia,San Alberto,Cesar,Desaparición
"231,899",Aparecio Muerto,Sin Información,2023-01-22T00:00:00.000,29,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,900",Desaparecido,Desaparición Presuntamente Forzada,2023-01-21T00:00:00.000,20,Mujer,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Honda,Tolima,Desaparición
"231,902",Desaparecido,Sin Información,2023-01-15T00:00:00.000,14,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Sin información,Colombia,Santa Marta,Magdalena,Desaparición
"231,907",Desaparecido,Sin Información,2023-01-21T00:00:00.000,19,Mujer,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,910",Aparecio Muerto,Sin Información,2023-01-29T00:00:00.000,53,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,914",Aparecio Vivo,Sin Información,2023-01-26T00:00:00.000,26,Mujer,Colombia,Indigena,Unión Libre,Educación inicial y educación preescolar,Grupos étnicos,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,915",Desaparecido,Sin Información,2023-01-26T00:00:00.000,14,Hombre,Colombia,Sin Información,Sin Información,Sin información,Sin información,Colombia,Neiva,Huila,Desaparición
"231,916",Aparecio Vivo,Sin Información,2023-01-26T00:00:00.000,1,Mujer,Colombia,Indigena,No Aplica,Sin escolaridad,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,917",Desaparecido,Sin Información,2023-01-26T00:00:00.000,38,Hombre,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,918",Desaparecido,Sin Información,2023-01-30T00:00:00.000,14,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Armenia,Quindio,Desaparición
"231,920",Desaparecido,Sin Información,2023-01-16T00:00:00.000,18,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,San Miguel,Putumayo,Desaparición
"231,921",Desaparecido,Sin Información,2023-01-19T00:00:00.000,20,Hombre,Colombia,Sin Información,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Ayapel,Córdoba,Desaparición
"231,922",Aparecio Vivo,Sin Información,2023-01-30T00:00:00.000,19,Mujer,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,926",Aparecio Vivo,Sin Información,2023-01-30T00:00:00.000,1,Mujer,Colombia,Mestizo,No Aplica,Sin escolaridad,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,927",Aparecio Vivo,Sin Información,2023-01-28T00:00:00.000,31,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,928",Aparecio Vivo,Sin Información,2023-01-18T00:00:00.000,28,Hombre,Colombia,Negro,Unión Libre,Educación básica primaria,Ninguno,Colombia,Cali,Valle Del Cauca,Desaparición
"231,929",Aparecio Vivo,Sin Información,2023-01-25T00:00:00.000,24,Hombre,Colombia,Mestizo,Soltero (a),Educación técnica profesional y tecnológica,Ninguno,Colombia,Cali,Valle Del Cauca,Desaparición
"231,930",Aparecio Vivo,Sin Información,2023-01-30T00:00:00.000,15,Mujer,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Cúcuta,Norte De Santander,Desaparición
"231,931",Aparecio Vivo,Sin Información,2023-01-22T00:00:00.000,22,Hombre,Colombia,Sin Información,Soltero (a),Educación media o secundaria alta,Sin información,Colombia,Itagui,Antioquia,Desaparición
"231,932",Aparecio Vivo,Sin Información,2023-01-23T00:00:00.000,15,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Cúcuta,Norte De Santander,Desaparición
"231,934",Desaparecido,Sin Información,2023-01-27T00:00:00.000,15,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,936",Aparecio Vivo,Sin Información,2023-01-26T00:00:00.000,15,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,937",Aparecio Vivo,Desaparición Presuntamente Forzada,2023-01-29T00:00:00.000,23,Hombre,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Tunja,Boyacá,Desaparición
"231,938",Desaparecido,Sin Información,2023-01-20T00:00:00.000,72,Hombre,Colombia,Mestizo,Casado (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,939",Desaparecido,Sin Información,2023-01-30T00:00:00.000,28,Hombre,Colombia,Negro,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,940",Desaparecido,Sin Información,2023-01-18T00:00:00.000,13,Hombre,Venezuela,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,941",Aparecio Vivo,Sin Información,2023-01-12T00:00:00.000,5,Mujer,Colombia,Mestizo,No Aplica,Educación inicial y educación preescolar,Otro,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,942",Aparecio Vivo,Sin Información,2023-01-12T00:00:00.000,24,Mujer,Colombia,Mestizo,Sin Información,Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,945",Desaparecido,Sin Información,2023-01-22T00:00:00.000,32,Hombre,Colombia,Sin Información,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,946",Aparecio Vivo,Sin Información,2023-01-28T00:00:00.000,73,Hombre,Colombia,Mestizo,"Separado(a),Divorciado(a)",Educación inicial y educación preescolar,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,948",Aparecio Muerto,Sin Información,2023-01-23T00:00:00.000,56,Hombre,Colombia,Mestizo,Soltero (a),Educación inicial y educación preescolar,Ninguno,Colombia,La Virginia,Risaralda,Desaparición
"231,950",Aparecio Vivo,Sin Información,2023-01-29T00:00:00.000,35,Hombre,Colombia,Mestizo,Sin Información,Educación básica primaria,Ninguno,Colombia,Cali,Valle Del Cauca,Desaparición
"231,951",Desaparecido,Sin Información,2023-01-24T00:00:00.000,14,Mujer,Colombia,Indigena,Sin Información,Sin información,Grupos étnicos,Colombia,San José Del Guaviare,Guaviare,Desaparición
"231,955",Desaparecido,Sin Información,2023-01-30T00:00:00.000,46,Mujer,Colombia,Mestizo,Unión Libre,Educación inicial y educación preescolar,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,957",Aparecio Vivo,Sin Información,2023-01-16T00:00:00.000,39,Hombre,Colombia,Mestizo,Soltero (a),Sin información,Ninguno,Colombia,Medellín,Antioquia,Desaparición
"231,958",Aparecio Vivo,Sin Información,2023-01-29T00:00:00.000,17,Mujer,Colombia,Mestizo,No Aplica,Educación básica secundaria o secundaria baja,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,960",Desaparecido,Sin Información,2023-01-17T00:00:00.000,45,Hombre,Colombia,Sin Información,Soltero (a),Educación media o secundaria alta,Herido y/o enfermo bajo protección sanitaria o médica,Colombia,Popayán,Cauca,Desaparición
"231,961",Aparecio Vivo,Sin Información,2023-02-01T00:00:00.000,28,Hombre,Colombia,Sin Información,Unión Libre,Educación básica primaria,Sin información,Colombia,Medellín,Antioquia,Desaparición
"231,962",Aparecio Vivo,Sin Información,2023-01-18T00:00:00.000,17,Hombre,Colombia,Sin Información,Unión Libre,Sin información,Ninguno,Colombia,Medellín,Antioquia,Desaparición
"231,963",Aparecio Vivo,Sin Información,2023-01-30T00:00:00.000,14,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,964",Aparecio Vivo,Sin Información,2023-01-16T00:00:00.000,16,Mujer,Colombia,Blanco,Unión Libre,Sin información,Ninguno,Colombia,Medellín,Antioquia,Desaparición
"231,965",Desaparecido,Sin Información,2023-02-01T00:00:00.000,61,Hombre,Colombia,Mestizo,Casado (a),Educación básica primaria,Ninguno,Colombia,Cúcuta,Norte De Santander,Desaparición
"231,966",Aparecio Muerto,Sin Información,2023-01-29T00:00:00.000,25,Hombre,Colombia,Mestizo,Unión Libre,Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,967",Aparecio Vivo,Sin Información,2023-01-22T00:00:00.000,30,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Manizales,Caldas,Desaparición
"231,969",Aparecio Vivo,Sin Información,2023-01-30T00:00:00.000,41,Hombre,Colombia,Mestizo,Casado (a),Educación media o secundaria alta,Ninguno,Colombia,Cali,Valle Del Cauca,Desaparición
"231,972",Aparecio Vivo,Sin Información,2023-02-01T00:00:00.000,18,Mujer,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Medellín,Antioquia,Desaparición
"231,974",Desaparecido,Sin Información,2023-01-22T00:00:00.000,23,Hombre,Colombia,Mestizo,Unión Libre,Educación básica primaria,Ninguno,Colombia,Marsella,Risaralda,Desaparición
"231,975",Desaparecido,Sin Información,2023-01-29T00:00:00.000,13,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Ciénaga,Magdalena,Desaparición
"231,976",Aparecio Vivo,Sin Información,2023-01-31T00:00:00.000,22,Hombre,Colombia,Indigena,Soltero (a),Educación media o secundaria alta,Otro,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,977",Desaparecido,Sin Información,2023-01-30T00:00:00.000,32,Hombre,Colombia,Mestizo,Unión Libre,Educación básica primaria,Ninguno,Colombia,San José Del Guaviare,Guaviare,Desaparición
"231,978",Aparecio Vivo,Sin Información,2023-01-31T00:00:00.000,30,Mujer,Colombia,Mestizo,Soltero (a),Sin escolaridad,Otro,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,979",Desaparecido,Sin Información,2023-01-30T00:00:00.000,15,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Cúcuta,Norte De Santander,Desaparición
"231,981",Aparecio Vivo,Sin Información,2023-01-29T00:00:00.000,19,Hombre,Colombia,Sin Información,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Choconta,Cundinamarca,Desaparición
"231,982",Desaparecido,Sin Información,2023-01-28T00:00:00.000,24,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bucaramanga,Santander,Desaparición
"231,984",Desaparecido,Sin Información,2023-01-13T00:00:00.000,29,Mujer,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Cali,Valle Del Cauca,Desaparición
"231,986",Desaparecido,Sin Información,2023-01-31T00:00:00.000,30,Mujer,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Soacha,Cundinamarca,Desaparición
"231,987",Aparecio Vivo,Sin Información,2023-01-31T00:00:00.000,69,Hombre,Colombia,Mestizo,Soltero (a),Sin escolaridad,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,988",Desaparecido,Sin Información,2023-01-13T00:00:00.000,0.75,Mujer,Argentina,Mestizo,No Aplica,Sin escolaridad,Ninguno,Colombia,Cali,Valle Del Cauca,Desaparición
"231,990",Desaparecido,Sin Información,2023-01-29T00:00:00.000,41,Hombre,Colombia,Sin Información,Unión Libre,Educación básica secundaria o secundaria baja,Sin información,Colombia,Medellín,Antioquia,Desaparición
"231,991",Aparecio Vivo,Sin Información,2023-02-01T00:00:00.000,14,Mujer,Colombia,Indigena,Soltero (a),Educación básica primaria,Ninguno,Colombia,Cali,Valle Del Cauca,Desaparición
"231,992",Desaparecido,Sin Información,2023-01-10T00:00:00.000,53,Hombre,Colombia,Sin Información,"Separado(a),Divorciado(a)",Sin información,Ninguno,Colombia,Soacha,Cundinamarca,Desaparición
"231,993",Aparecio Vivo,Sin Información,2023-01-30T00:00:00.000,23,Hombre,Colombia,Mulato,Soltero (a),Educación media o secundaria alta,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,994",Desaparecido,Sin Información,2023-01-27T00:00:00.000,39,Hombre,Venezuela,Mestizo,Soltero (a),Sin información,Ninguno,Colombia,Cali,Valle Del Cauca,Desaparición
